transaction_id,base_amount,fx_rate,amount_usd,merchant_name,idempotency_key,transaction_ts,is_corrupt
TX-0000001,70.06,1.0,70.06,Nino Store,IDEMP-000001,2025-01-01T00:00:00Z,0
TX-0000002,136.48,0.9,122.83,Muller GmbH,IDEMP-001732,2025-01-01T00:15:00Z,0
TX-0000003,208.83,1.1,229.71,Caf̩ Central,IDEMP-000003,2025-01-01T00:30:00Z,0
TX-0000004,484.9,1.25,606.12,Cafe Central,IDEMP-001836,2025-01-01T00:45:00Z,0
TX-0000005,89.54,1.25,111.93,Caf̩ Central,IDEMP-000005,2025-01-01T01:00:00Z,0
TX-0000006,430.07,1.1,709.62,Caf̩ Central,IDEMP-000006,2025-01-01T01:15:00Z,1
TX-0000007,89.89,1.0,89.89,Sao Mart,IDEMP-000007,2025-01-01T01:30:00Z,0
TX-0000008,175.6,0.9,158.04,Sao Mart,IDEMP-000008,2025-01-01T01:45:00Z,0
TX-0000009,342.08,1.25,641.4,Nino Store,IDEMP-000009,2025-01-01T02:00:00Z,1
TX-0000010,312.1,1.25,390.12,Cafe Central,IDEMP-000010,2025-01-01T02:15:00Z,0
TX-0000011,477.92,0.9,430.13,Cafe Central,IDEMP-000011,2025-01-01T02:30:00Z,0
TX-0000012,211.59,1.0,211.59,Sao Mart,IDEMP-000012,2025-01-01T02:45:00Z,0
TX-0000013,470.42,1.1,517.46,Muller GmbH,IDEMP-000013,2025-01-01T03:00:00Z,0
TX-0000014,464.11,0.9,417.7,Muller GmbH,IDEMP-000014,2025-01-01T03:15:00Z,0
TX-0000015,360.63,1.0,360.63,Sao Mart,IDEMP-000015,2025-01-01T03:30:00Z,0
TX-0000016,19.54,0.9,43.98,Nino Store,IDEMP-000016,2025-01-01T03:45:00Z,1
TX-0000017,400.73,0.9,721.32,Sao Mart,IDEMP-000017,2025-01-01T04:00:00Z,1
TX-0000018,451.37,1.1,496.51,Nino Store,IDEMP-000018,2025-01-01T04:15:00Z,0
TX-0000019,266.69,1.25,500.04,Muller GmbH,IDEMP-000019,2025-01-01T04:30:00Z,1
TX-0000020,106.61,1.25,133.26,Cafe Central,IDEMP-000020,2025-01-01T04:45:00Z,0
TX-0000021,98.59,1.0,98.59,Nino Store,IDEMP-000021,2025-01-01T05:00:00Z,0
TX-0000022,424.24,1.1,466.66,Nino Store,IDEMP-000022,2025-01-01T05:15:00Z,0
TX-0000023,52.75,0.9,47.48,Cafe Central,IDEMP-000023,2025-01-01T05:30:00Z,0
TX-0000024,277.64,1.0,277.64,Muller GmbH,IDEMP-000024,2025-01-01T05:45:00Z,0
TX-0000025,109.68,1.0,164.52,Sao Mart,IDEMP-000025,2025-01-01T06:00:00Z,1
TX-0000026,157.63,1.25,197.04,Sao Mart,IDEMP-000026,2025-01-01T06:15:00Z,0
TX-0000027,488.81,1.25,611.01,Nino Store,IDEMP-000027,2025-01-01T06:30:00Z,0
TX-0000028,145.55,1.0,145.55,Nino Store,IDEMP-000028,2025-01-01T06:45:00Z,0
TX-0000029,344.92,1.25,431.15,Sao Mart,IDEMP-000029,2025-01-01T07:00:00Z,0
TX-0000030,386.02,0.9,521.13,Muller GmbH,IDEMP-000030,2025-01-01T07:15:00Z,1
TX-0000031,151.23,1.25,189.04,Nino Store,IDEMP-000031,2025-01-01T07:30:00Z,0
TX-0000032,81.81,1.1,179.98,Nino Store,IDEMP-000032,2025-01-01T07:45:00Z,1
TX-0000033,388.36,1.0,388.36,Nino Store,IDEMP-000033,2025-01-01T08:00:00Z,0
TX-0000034,232.27,1.1,255.5,Nino Store,IDEMP-000034,2025-01-01T08:15:00Z,0
TX-0000035,151.06,0.9,135.95,Cafe Central,IDEMP-000035,2025-01-01T08:30:00Z,0
TX-0000036,113.7,1.0,113.7,Nino Store,IDEMP-000036,2025-01-01T08:45:00Z,0
TX-0000037,491.97,1.1,541.17,Muller GmbH,IDEMP-000037,2025-01-01T09:00:00Z,0
TX-0000038,326.69,0.9,294.02,Muller GmbH,IDEMP-000038,2025-01-01T09:15:00Z,0
TX-0000039,266.3,1.1,292.93,Cafe Central,IDEMP-000039,2025-01-01T09:30:00Z,0
TX-0000040,65.96,1.1,181.4,Muller GmbH,IDEMP-000040,2025-01-01T09:45:00Z,1
TX-0000041,457.1,0.9,411.39,Muller GmbH,IDEMP-000041,2025-01-01T10:00:00Z,0
TX-0000042,173.07,1.25,540.85,Cafe Central,IDEMP-000042,2025-01-01T10:15:00Z,1
TX-0000043,397.46,1.25,496.82,Sao Mart,IDEMP-000043,2025-01-01T10:30:00Z,0
TX-0000044,453.62,0.9,408.26,Nino Store,IDEMP-000044,2025-01-01T10:45:00Z,0
TX-0000045,110.86,1.0,110.86,Nino Store,IDEMP-001395,2025-01-01T11:00:00Z,0
TX-0000046,489.19,1.1,538.11,Nino Store,IDEMP-000046,2025-01-01T11:15:00Z,0
TX-0000047,448.16,0.9,403.34,Sao Mart,IDEMP-000047,2025-01-01T11:30:00Z,0
TX-0000048,287.4,1.25,359.25,Nino Store,IDEMP-000048,2025-01-01T11:45:00Z,0
TX-0000049,364.91,1.0,364.91,Muller GmbH,IDEMP-000049,2025-01-01T12:00:00Z,0
TX-0000050,145.92,1.1,160.51,Cafe Central,IDEMP-000050,2025-01-01T12:15:00Z,0
TX-0000051,364.62,1.25,455.78,Muller GmbH,IDEMP-000051,2025-01-01T12:30:00Z,0
TX-0000052,221.26,1.1,243.39,Muller GmbH,IDEMP-000052,2025-01-01T12:45:00Z,0
TX-0000053,169.49,0.9,152.54,Nino Store,IDEMP-000053,2025-01-01T13:00:00Z,0
TX-0000054,351.47,0.9,316.32,Muller GmbH,IDEMP-000054,2025-01-01T13:15:00Z,0
TX-0000055,197.73,1.25,247.16,Caf̩ Central,IDEMP-000055,2025-01-01T13:30:00Z,0
TX-0000056,355.21,0.9,319.69,Caf̩ Central,IDEMP-000056,2025-01-01T13:45:00Z,0
TX-0000057,427.25,1.0,427.25,Muller GmbH,IDEMP-000057,2025-01-01T14:00:00Z,0
TX-0000058,142.7,1.25,178.38,Sao Mart,IDEMP-000058,2025-01-01T14:15:00Z,0
TX-0000059,111.18,0.9,200.12,Muller GmbH,IDEMP-000059,2025-01-01T14:30:00Z,1
TX-0000060,166.98,1.0,166.98,Cafe Central,IDEMP-001532,2025-01-01T14:45:00Z,0
